x; y; z; voidRatio; porePressure;
   21.789;     7.211;     0.000; 0.2999836;    420211.64;
   21.789;     7.789;     0.000; 0.2999847;    414536.80;
   21.211;     7.211;     0.000; 0.2999836;    420196.38;
   21.211;     7.789;     0.000; 0.2999847;    414521.77;
   21.789;     8.211;     0.000; 0.2999855;    410384.81;
   21.789;     8.789;     0.000; 0.2999868;    404716.22;
   21.211;     8.211;     0.000; 0.2999855;    410369.76;
   21.211;     8.789;     0.000; 0.2999867;    404700.89;
   21.789;     9.211;     0.000; 0.2999879;    400571.02;
   21.789;     9.789;     0.000; 0.2999895;    394914.69;
   21.211;     9.211;     0.000; 0.2999876;    400555.13;
   21.211;     9.789;     0.000; 0.2999892;    394897.56;
   21.789;    10.211;     0.000; 0.2999911;    390781.75;
   21.789;    10.789;     0.000; 0.2999936;    385146.68;
   21.211;    10.211;     0.000; 0.2999907;    390763.07;
   21.211;    10.789;     0.000; 0.2999931;    385125.01;
   21.789;    11.211;     0.000; 0.2999961;    381034.60;
   21.789;    11.789;     0.000; 0.3000003;    375435.24;
   21.211;    11.211;     0.000; 0.2999953;    381009.58;
   21.211;    11.789;     0.000; 0.2999992;    375404.09;
   21.789;    12.211;     0.000; 0.3000044;    371357.96;
   21.789;    12.789;     0.000; 0.3000113;    365817.98;
   21.211;    12.211;     0.000; 0.3000029;    371320.24;
   21.211;    12.789;     0.000; 0.3000093;    365768.45;
   21.789;    13.211;     0.000; 0.3000181;    361798.28;
   21.789;    13.789;     0.000; 0.3000296;    356356.22;
   21.211;    13.211;     0.000; 0.3000154;    361736.37;
   21.211;    13.789;     0.000; 0.3000259;    356272.31;
   21.789;    14.211;     0.000; 0.3000409;    352430.88;
   21.789;    14.789;     0.000; 0.3000601;    347148.71;
   21.211;    14.211;     0.000; 0.3000360;    352324.16;
   21.211;    14.789;     0.000; 0.3000534;    347001.70;
   21.789;    15.211;     0.000; 0.3000788;    343376.16;
   21.789;    15.789;     0.000; 0.3001102;    338351.56;
